event_id,event_date,person_id,org_id,event_type,title,description,date_precision,source_id,source_excerpt,show_label,label_position,x_offset,first_appearance
event_adhikari_first_appearance,1954-01-27,adhikari,ncp_unified,appointment,当选尼共总书记,尼共一大选举阿迪卡里为中央总书记,day,WTY-P28,,yes,middle left,-0.16,yes
event_1954_background,1954-01-01,raimajhi,ncp_unified,background,进入中央委员会,出生家庭、早年赴印、1947—1948年组织活动及1954年进入中央委员会,year,WTY-P31,,yes,middle right,0.16,yes
event_1956_exec,1956-09-01,raimajhi,ncp_unified,appointment,任中央执行书记,担任中央执行书记,month,WTY-P31,,yes,middle right,,
event_1957_gs,1957-06-01,raimajhi,ncp_unified,appointment,当选总书记,在尼共二大上当选总书记,month,WTY-P31,,yes,middle right,0.16,no
event_1959_election,1959-01-01,raimajhi,ncp_unified,election,参加议会选举,以尼共候选人身份参选但未获席位,year,WTY-P31,,yes,middle right,,
event_1960_statement,1960-09-01,raimajhi,ncp_unified,position,支持国王解散议会,赴莫斯科参加国际会议期间发表声明,month,WTY-P31,,yes,middle right,,
event_1961_royal_posts,1961-01-01,raimajhi,ncp_raimajhi,public_office,获王室安排职务,原书未注明具体任职年份；为便于作图暂置于1961年,uncertain,WTY-P30,,yes,middle left,0.20,
event_1961_removed,1961-03-01,raimajhi,ncp_unified,removal,被免去总书记职务,尼共中央全会作出决定,month,WTY-P31,,yes,middle right,,
event_1962_expelled,1962-04-01,raimajhi,ncp_raimajhi,expulsion,被三大开除／形成两个中央,拒绝接受处分并否认瓦腊纳西三大的合法性,month,WTY-P30-P31,,yes,middle right,-0.16,
event_1966_centre,1966-01-01,raimajhi,ncp_raimajhi,formation,正式另立中央,正式建立独立中央,year,WTY-P31,,yes,middle right,-0.16,
event_1967_congress,1967-01-01,raimajhi,ncp_raimajhi,congress,另开尼共“三大”,在加德满都召开会议并任总书记,year,WTY-P31,,yes,middle right,-0.16,
event_royal_adviser,1967-07-01,raimajhi,ncp_raimajhi,public_office,长期任王室顾问或内阁大臣,原书未注明具体起止年份；节点仅表示该项经历,uncertain,WTY-P31,,yes,middle left,0.20,
event_1979_unrest,1979-04-01,raimajhi,ncp_raimajhi,position,学潮期间支持国王,党内围绕是否反对国王专制发生冲突,month,WTY-P31-P32,,yes,middle right,-0.16,
event_1981_manandhar,1981-01-01,raimajhi,ncp_manandhar,split,马南达尔派脱离,马南达尔带领一大部分党员另立新党,year,WTY-P32,,yes,middle right,,
event_1983_fifth_congress,1983-01-01,raimajhi,ncp_raimajhi,congress,尼共（腊伊玛吉）五大,选举两名总书记并在同年发生开除,year,WTY-P32,,yes,middle right,-0.16,
event_1983_new_party,1983-07-01,raimajhi,ncp_raimajhi,formation,另立新党并自任总书记,被尼共（腊伊玛吉）开除后另立组织,year,WTY-P32,,yes,middle right,-0.16,
event_1986_expelled,1986-01-01,raimajhi,ncp_raimajhi,expulsion,再次被开除,被1983年另立的党开除,year,WTY-P32,,yes,middle right,-0.16,
event_1990_minister,1990-01-01,raimajhi,ncp_raimajhi,public_office,任过渡政府教育大臣,受国王委派并代表国王监督制宪运动,year,WTY-P32,,yes,middle left,0.20,
event_1991_people_party,1991-01-01,raimajhi,ncp_raimajhi,election,组建尼泊尔人民党参选,选举失败后人民党解散,year,WTY-P32,,yes,middle right,-0.16,
event_1991_royal_affairs,1991-06-01,raimajhi,ncp_raimajhi,public_office,任皇家事务委员会主席,原书仅称此后担任该职,year,WTY-P32,,yes,middle left,0.20,
event_2001_palace,2001-06-01,raimajhi,ncp_raimajhi,context,见证王宫血案后王室剧变,以皇家事务委员会主席身份经历王室变化,year,WTY-P32,,yes,middle left,0.20,
event_2008_career_end,2008-01-01,raimajhi,ncp_raimajhi,retirement,王权废除后结束政治生涯,书中以2006年内战结束及2008年王权废除作为背景,year,WTY-P32,,yes,middle left,0.20,
event_2012_death,2012-12-07,raimajhi,ncp_raimajhi,death,在加德满都去世,享年93岁,day,WTY-P32,,yes,middle left,0.20,no
event_adhikari_china,1957-06-01,adhikari,ncp_unified,absence,赴中国治病并缺席尼共二大,原书仅称其因治病赴中国并缺席二大，未说明具体出行日期；图示定位到二大所在月份,month,WTY-P31,,yes,middle left,-0.16,no
event_adhikari_arrest,1961-01-01,adhikari,ncp_unified,imprisonment,因反对无党派评议会制度入狱,1961年因反对无党派评议会制度入狱9年；书中未注明月份,year,WTY-P30,,yes,middle left,-0.16,no
event_adhikari_guidance_committee,1961-03-01,adhikari,ncp_unified,leadership,进入三人指导委员会,与普什帕·拉尔·什雷斯塔、沙穆布·拉姆·什雷斯塔共同组成指导委员会,month,WTY-P30,,yes,middle left,-0.16,no
event_adhikari_release,1970-01-01,adhikari,ncp_unified,release,出狱后推动党内团结,以1961年入狱9年推算约1970年出狱，具体日期待核,year,WTY-P30,,yes,middle left,-0.16,no
event_adhikari_unity_congress,1982-01-01,adhikari,ncp_unity_congress,formation,创建尼共（统一大会）,阿迪卡里创建该党,year,WTY-P30,,yes,middle right,-0.16,no
event_adhikari_merge_1986,1986-01-01,adhikari,ncp_marxist,merge,尼共（统一大会）并入尼共（马）,原书记载组织合并，未说明其在合并后组织中的职务,year,WTY-P30,,yes,middle right,-0.16,no
event_adhikari_found_uml,1991-01-01,adhikari,ncp_uml,formation,参与成立尼共（联合马列）,与尼共（马列）联合成立新党并当选党主席,month,WTY-P30,,yes,middle right,-0.16,no
event_adhikari_reelected,1993-09-01,adhikari,ncp_uml,election,再次当选党主席,原书未说明任期具体起止日,month,WTY-P30,,yes,middle right,-0.16,no
event_adhikari_pm,1994-11-01,adhikari,ncp_uml,public_office,当选尼泊尔首相,尼共（联合马列）大选获胜，阿迪卡里出任首相,month,WTY-P30,,yes,middle right,-0.16,no
event_adhikari_resigned,1995-09-01,adhikari,ncp_uml,removal,辞去首相职务,大会党提出的不信任案获通过后辞职,month,WTY-P30,,yes,middle right,-0.16,no
