org_id,name_zh,short_name,color,display_order
political_background,政治背景／当权结构,背景,#4D4D4D,0
ncp_unified,尼泊尔共产党（统一时期）,尼共,#B22222,1
ncp_raimajhi,尼共（腊伊玛吉）,尼共（腊）,#1F77B4,2
ncp_manandhar,尼共（马南达尔）,尼共（马）,#2CA02C,3
ncp_unity_congress,尼共（统一大会）,尼共（统大）,#9467BD,4
ncp_marxist,尼共（马）,尼共（马）,#8C564B,5
ncp_ml,尼共（马列）,尼共（马列）,#17A589,6
ncp_uml,尼共（联合马列）,尼共（联马列）,#4C78A8,7
nepali_congress,尼泊尔大会党,大会党,#AA4A5B,8
ncp_amatya,尼共（阿玛提亚）,尼共（阿玛提亚）,#67708E,9
ncp_pushpa_lal,尼共（普什帕·拉尔）,尼共（普·拉）,#C45B94,10
ncp_central_nucleus,尼共中央核心小组,中央核心,#6B8E23,11
ncp_fourth_congress,尼共（四大）,尼共（四大）,#A66A2E,12
ncp_masal,尼共（Masal）,Masal,#9C755F,13
ncp_mashal,尼共（Mashal）,Mashal,#BC7C12,14
ncp_unity_centre,尼共（团结中心）,团结中心,#B279A2,15
ncp_unity_centre_prachanda,尼共（团结中心·普拉昌达派）,团结中心·普拉昌达派,#9C4F8D,16
ncp_maoist,尼共（毛）,尼共（毛）,#C51B29,17
ncp_unity_centre_masal,尼共（团结中心—Masal）,团结中心—Masal,#7B4173,18
ncp_unity_centre_masal_singh,尼共（团结中心—Masal·辛格派）,团结中心—Masal·辛格派,#854F74,19
