person_id,name_zh,name_zh_full,name_en,name_ne,notes,color,marker_symbol,display_order
adhikari,阿迪卡里,曼·莫汉·阿迪卡里,Man Mohan Adhikari,,据汪亭友书内第28—30页；未以其他来源复核,#0072B2,triangle-up,1
raimajhi,腊伊玛吉,克沙尔·忠格·腊伊玛吉,Keshar Jung Rayamajhi,,本图据汪亭友书内第30—32页；中文全名按原书音译,#D55E00,circle,2
pushpa_lal_shrestha,什雷斯塔,普什帕·拉尔·什雷斯塔,Pushpa Lal Shrestha,,尼共创始人；本图据汪亭友书内第27—34页,#009E73,diamond,3
mohan_bikram_singh,辛格,莫汉·比克拉姆·辛格,Mohan Bikram Singh,,本图据汪亭友书内第34—39页,#CC79A7,square,4
prachanda,普拉昌达,普什帕·卡玛尔·达哈尔（普拉昌达）,Pushpa Kamal Dahal (Prachanda),,本图据汪亭友书内第36—59页,#E69F00,star,5
baburam_bhattarai,巴特拉伊,巴布拉姆·巴特拉伊,Baburam Bhattarai,,本图据汪亭友书内第37及52—59页,#66A61E,star-diamond,6
tulsi_lal_amatya,阿玛提亚,吐尔西·拉尔·阿玛提亚,Tulsi Lal Amatya,,本图据汪亭友书内第30—34页,#56B4E9,cross,7
nirmal_lama,尼莫·拉玛,尼莫·拉玛,Nirmal Lama,,本图据汪亭友书内第36—51页,#A6761D,pentagon,8
mohan_vaidya,莫汉·维迪亚,莫汉·维迪亚,Mohan Vaidya,,本图据汪亭友书内第36—43页；勿与尼兰久·戈文达·维迪亚混同,#F781BF,hexagon,9
sahana_pradhan,普拉丹,萨哈娜·普拉丹,Sahana Pradhan,,本图据汪亭友书内第33及47页,#999999,triangle-down,10
madan_bhandari,班达里,马丹·库马尔·班达里,Madan Kumar Bhandari,,本图据汪亭友书内第33及47—49页,#1B9E77,diamond-tall,11
bishnu_manandhar,马南达尔,比什努·巴哈杜尔·马南达尔,Bishnu Bahadur Manandhar,,本图据汪亭友书内第32及47页,#7570B3,circle-open,12
krishna_raj_burma,布尔玛,克利须那·瑞吉·布尔玛,Krishna Raj Burma,,本图据汪亭友书内第32及47页,#E7298A,square-open,13
