source_id,title,author,published_date,url,language,accessed_date,notes
WTY-P28,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-25,书内第28页；PDF文件第40页；阿迪卡里生平脚注及1954年当选总书记
WTY-P29,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-25,书内第29页；PDF文件第41页
WTY-P28-P31,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-25,阿迪卡里总书记任期起止依据书内第28页和第31页相关叙述；终点按1957年二大会期定位
WTY-P30,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-24,书内第30页；PDF文件第42页
WTY-P31,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-24,书内第31页；PDF文件第43页
WTY-P32,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-24,书内第32页；PDF文件第44页
WTY-P30-P31,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-24,相关叙述跨书内第30—31页
WTY-P31-P32,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-24,相关叙述跨书内第31—32页
WTY-P27,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第27页；PDF文件第39页；1949年建党及普什帕·拉尔生平脚注
WTY-P33-P34,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第33—34页；PDF文件第45—46页
WTY-P34-P36,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第34—36页；PDF文件第46—48页
WTY-P36-P39,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第36—39页；PDF文件第48—51页
WTY-P39-P43,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第39—43页；PDF文件第51—55页
WTY-P47-P51,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第47—51页；PDF文件第59—63页
WTY-P51-P52,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第51—52页；PDF文件第63—64页
WTY-P54-P59,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第54—59页；PDF文件第66—71页
WTY-P43-P47,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第43—47页；1989年尼印关系危机和1990年政权转型
WTY-P46-P47,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第46—47页；1990年临时政府与取消贸易禁运
WTY-P55-P57,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第55—57页；阿迪卡里少数派政府及其对印政策
WTY-P57-P62,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第57—62页；德乌帕政府、罗密欧行动与40点要求
WTY-P65-P72,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第65—72页；尼泊尔对印度的结构性依赖
WTY-P155-P160,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第155—160页；王宫血案、贾南德拉继位与第一次和谈
WTY-P181-P192,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第181—192页；国王政变和反王权联盟形成
WTY-P181-P205,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第181—205页；国王政变、七党联盟和恢复议会
WTY-P192-P214,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第192—214页；第三次和谈、和平协议及临时政府
WTY-P213-P260,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第213—260页；制宪议会选举和普拉昌达政府
WTY-P260-P278,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第260—278页；尼共（联合马列）主导政府
WTY-P278-P298,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第278—298页；巴特拉伊政府
WTY-P335,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第335页起；印度政府与尼共（毛）的关系
WTY-P32-P34,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第32—34页；腊伊玛吉派后续、普什帕·拉尔派分化和阿玛提亚派
WTY-P33,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第33页；普拉丹、班达里及尼共（普·拉）后续
WTY-P36-P43,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第36—43页；尼莫·拉玛、莫汉·维迪亚及四大—Masal—Mashal演变
WTY-P52-P59,《尼泊尔共产党（毛主义者）的历史、执政及其嬗变探究》,汪亭友,,material:wty-book,zh,2026-09-26,书内第52—59页；巴特拉伊生平、人民统一战线与革命准备
